tweet,label,score
#IndianRailways will start the services of 71 unreserved mail and express trains from Monday: @PiyushGoyal https://t.co/L6kuXLzGIW,complaint,0.666454434
"One of the worst exprence in 19490 very derty train B3 &amp; B4 AC is also not working properly in B3.
Mosquitos every where dont know from where this boggy has been attached #IndianRailways #PiyushGoyal #railways",complaint,0.986594975
"Indian Railways To Start 71 Unreserved Trains From April 05: Check Full List

#ExpressTrains #IndianRailways #MinistryofRailways #PiyushGoyal #Railways #UnreservedMail #UnreservedTrains

https://t.co/7sXfZ6FcSg https://t.co/lLARNxPFol",complaint,0.728725195
"#IndianRailways will start 71 Unreserved Mail&amp;Express Trains from Monday, April 5.

ðŸŒhttps://t.co/iTTkRY5S91",complaint,0.772138953
"No blankets, pillow!! Wear mask, maintain social distancing. Right measures to fight #COVID19 from #IndianRailways 
But trains running on full capacity with absolutely no space between passengers. Isnâ€™t that an irony!!!
#COVIDSecondWave #COVID",complaint,0.96985656
"#IndianRailways will start the services of 71 unreserved  mail and express trains from Monday. 

A weekly, Rajdhani Superfast Special train will also be run between Hazrat Nizamuddin and Secunderabad  from Sunday. 

#railway #train https://t.co/jruaf9swWw",complaint,0.882277131
"#IndianRailways will start the services of 71 unreserved  mail and express trains from Monday. 

A weekly, Rajdhani Superfast Special train will also be run between Hazrat Nizamuddin and Secunderabad  from Sunday. 

#railway #train",complaint,0.89152509
"#IndianRailways to start 71 unreserved train services starting from April 5; see full list here

https://t.co/Dxwqhnylcx",complaint,0.803182185
"#IndianRailways will start the services of 71 unreserved  mail and express trains from Monday. 

A weekly, Rajdhani Superfast Special train will also be run between Hazrat Nizamuddin and Secunderabad  from Sunday. https://t.co/A9ciLxSXKG",complaint,0.72014451
"#IndianRailways will start the services of 71 unreserved  mail and express trains from Monday. 

A weekly, Rajdhani Superfast Special train will also be run between Hazrat Nizamuddin and Secunderabad  from Sunday. https://t.co/IhkgYY8Z0L",complaint,0.731891513
"#IndianRailways will start the services of 71 unreserved  mail and express trains from Monday. 

A weekly, Rajdhani Superfast Special train will also be run between Hazrat Nizamuddin and Secunderabad  from Sunday. https://t.co/TJ33TNovHO",complaint,0.759759367
"With the coronavirus cases on the rise, the Western Railway announced that the services of Ahmedabad-Mumbai-Ahmedabad Tejas Express would be suspended for a month from April 2.
#CoronaVirus #Covid19 #IndianRailways
https://t.co/4ry9dnMB6j",complaint,0.882749677
"The services of Ahmedabad-Mumbai-Ahmedabad Tejas Express will be suspended from April 2 for a month in view of rising number of #Covid19 cases 

Read here: https://t.co/r9cAeFOngy 

#India #Ahmedabad #Mumbai #IndianRailways #Coronavirus #CovidSurge #ITCard https://t.co/0fPcYLo5Ne",complaint,0.954708397
"""#Hitachiâ€™s partnership with Indian Railways is eight decades old starting from 1953 when the first steam locomotive was supplied to #IndianRailways."" https://t.co/7CYxR23O3p",complaint,0.500911593
How british privatization of railways failed &amp; what we can learn from @mumbairailusers @RailMinIndia @IndianrailwaysL #indianrailways @TeslaClubIN @westerncomd_IA @indiatimes @ThePrintIndia @TheDeshBhakt @TheQuint @RahulGandhi @MahuaMoitra @IndiaCoastGuard https://t.co/Mnf6DVW1Pa,complaint,0.959754944
"Tr_no.02358,sta-DDU
I was waiting where train was supposed to stop. But it stopped much earlier, so i walked to my coach.And here is how the train was parked. My coach was way away from the platform.ðŸ˜… @PiyushGoyal @indianrailway__  @PiyushGoyalOffc 
#IndianRailways #PiyushGoyal https://t.co/G9NaFFQ25n",complaint,0.98792094
"#TVCtrainupdates #IndianRailways 
Train No.06322 Coimbatore Junction â€“ Nagercoil Junction Daily Special, will be cancelled between Nagercoil Jn. and Madurai Jn. from 02.04.21 to 13.04.21, in connection with track maintenance works in Madurai Division.",complaint,0.937709391
"#TVCtrainupdates #IndianRailways 
Train No.06321 Nagercoil Junction â€“ Coimbatore Junction Daily Special, will be cancelled between Madurai Jn. and Nagercoil Jn. from 02.04.21 to 13.04.21, in connection with track maintenance works in Madurai Division.",complaint,0.937766314
"#TVCtrainupdates #IndianRailways 
Train No.06128 Guruvayur â€“ Chennai Egmore Daily Special, is cancelled between Tirunelveli Jn and Chennai Egmore from 01.04.21 to 03.04.21, in connection with track doubling works in Madurai Division.",complaint,0.934036553
"#TVCtrainupdates #IndianRailways 
Train No.06127 Chennai Egmore â€“ Guruvayur Daily Special, is cancelled between Chennai Egmore and Tirunelveli Jn. from 01.04.21 to 03.04.21, in connection with track doubling works in Madurai Division.",complaint,0.96027118
